Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry,Latitude,Longitude,Avg Traffic
49,Eli501_T,QVM-Therry St (South),Installed,19/07/2018 02:09:17 PM +0000,2017,Outdoor,"(-37.80730066999714, 144.959560550793)",-37.80730067,144.9595606,400
18,Col12_T,Collins Place (North),Installed,19/07/2018 02:09:13 PM +0000,2009,Outdoor,"(-37.81344861069189, 144.97305353863325)",-37.81344861,144.9730535,450
40,Spr201_T,Lonsdale St-Spring St (West),Installed,19/07/2018 02:09:17 PM +0000,2015,Outdoor,"(-37.80999340577931, 144.97227587945684)",-37.80999341,144.9722759,530
9,Col700_T,Southern Cross Station,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.81982991698744, 144.9510255575422)",-37.81982992,144.9510256,887
32,CSq_T,City Square,Installed,19/07/2018 02:09:17 PM +0000,2014,,"(-37.815737416687426, 144.9668571777059)",-37.81573742,144.9668572,592
37,Lyg260_T,Lygon St (East),Installed,19/07/2018 02:09:17 PM +0000,2015,Outdoor,"(-37.80310270954842, 144.9667145173956)",-37.80310271,144.9667145,449
11,WatCit_T,Waterfront City,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.8156498888822, 144.93970694770775)",-37.81564989,144.9397069,102
5,PriNW_T,Princes Bridge,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.818742489441114, 144.96787656271226)",-37.81874249,144.9678766,1218
41,Swa31,Flinders La-Swanston St (West),Installed,19/07/2018 02:09:17 PM +0000,2017,Outdoor,"(-37.81668633205908, 144.96689733453496)",-37.81668633,144.9668973,1968
1,Bou292_T,Bourke Street Mall (North),Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.81349440363381, 144.96515323791417)",-37.8134944,144.9651532,1138
45,Swa148_T,Little Collins St-Swanston St (East),Installed,19/07/2018 02:09:17 PM +0000,2017,Outdoor,"(-37.814140740177315, 144.96609379750032)",-37.81414074,144.9660938,407
